Nombre,Plataforma,Año,Género,Compañía,USA,Europa,Japón,Otros
Bomberman World,PlayStation,1998,Puzzle,Sony Computer Entertainment,0.06,0.04,0.22,0.02
NHL 17,PlayStation4,2016,Sports,Electronic Arts,0.19,0.08,0.0,0.06
Mega Man ZX Advent,Nintendo Dual Screen,2007,Platform,Capcom,0.22,0.0,0.09,0.02
Transformers: Revenge of the Fallen (DS Versions),Nintendo Dual Screen,2009,Action,Activision,0.17,0.13,0.0,0.03
NCAA Basketball 10,PlayStation3,2009,Sports,Electronic Arts,0.31,0.0,0.0,0.03
Star Ocean 5: Integrity and Faithlessness,PlayStation4,2016,Role-Playing,Square Enix,0.07,0.09,0.15,0.03
Jeanne d'Arc,PlayStation Portable,2006,Role-Playing,Sony Computer Entertainment,0.21,0.0,0.1,0.02
Deathtrap Dungeon,PlayStation,1998,Action,Eidos Interactive,0.19,0.13,0.0,0.02
Tales of the World: Radiant Mythology 2,PlayStation Portable,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.33,0.0
Night at the Museum: Battle of the Smithsonian,Nintendo Dual Screen,2009,Action,Majesco Entertainment,0.12,0.18,0.0,0.04
Harry Potter and the Deathly Hallows - Part 2,Xbox360,2011,Action,Electronic Arts,0.19,0.11,0.0,0.03
Avatar: The Last Airbender,Nintendo Dual Screen,2006,Adventure,THQ,0.3,0.01,0.0,0.03
Ape Escape Academy,PlayStation Portable,2004,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05
WWE Wrestlemania XIX,Nintendo GameCube,2003,Fighting,THQ,0.26,0.07,0.0,0.01
The Sims 2,Nintendo GameCube,2005,Simulation,Electronic Arts,0.26,0.07,0.0,0.01
Hulk,Xbox,2003,Action,Universal Interactive,0.25,0.07,0.0,0.01
Untold Legends: The Warriors Code,PlayStation Portable,2006,Role-Playing,Ubisoft,0.14,0.12,0.0,0.08
Klonoa 2: Lunatea's Veil,PlayStation2,2001,Platform,Sony Computer Entertainment,0.12,0.1,0.08,0.03
Deus Ex: Invisible War,Xbox,2003,Shooter,Eidos Interactive,0.25,0.07,0.0,0.01
Disney's Treasure Planet,PlayStation2,2002,Action,Sony Computer Entertainment,0.16,0.13,0.0,0.04
NASCAR Thunder 2002,Xbox,2001,Racing,Electronic Arts,0.25,0.07,0.0,0.01
The King of Fighters XIII,Xbox360,2011,Fighting,Rising Star Games,0.23,0.06,0.01,0.03
BeatMania Append GottaMix,PlayStation,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02
Tak 2: The Staff of Dreams,Nintendo GameCube,2004,Platform,THQ,0.26,0.07,0.0,0.01
Fracture,Xbox360,2008,Shooter,LucasArts,0.15,0.14,0.0,0.04
Ninja Blade,Xbox360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03
Bookworm,Nintendo Dual Screen,2009,Puzzle,PopCap Games,0.3,0.01,0.0,0.02
LEGO Batman 2: DC Super Heroes,PlayStation Vita,2012,Action,Warner Bros. Interactive Entertainment,0.16,0.11,0.0,0.06
Bee Movie Game,Nintendo Wii,2007,Action,Activision,0.3,0.01,0.0,0.03
Kelly Slater's Pro Surfer,PlayStation2,2002,Sports,Activision,0.16,0.13,0.0,0.04
Sniper: Ghost Warrior 2,PlayStation3,2013,Shooter,City Interactive,0.05,0.18,0.03,0.07
Shrek SuperSlam,Game Boy Advance,2005,Action,Activision,0.24,0.09,0.0,0.01
Legends of Wrestling II,PlayStation2,2002,Fighting,Acclaim Entertainment,0.16,0.13,0.0,0.04
World Stadium 3,PlayStation,1999,Sports,Namco Bandai Games,0.0,0.0,0.31,0.02
LEGO Pirates of the Caribbean: The Video Game,PlayStation Portable,2011,Action,Disney Interactive Studios,0.12,0.13,0.0,0.08
Extra Bases,Nintendo Game Boy,1990,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0
Super Power League 2,Super Nintendo Entertainment System,1994,Sports,Hudson Soft,0.0,0.0,0.33,0.0
Virtua Tennis 2009,Xbox360,2009,Sports,Sega,0.12,0.18,0.0,0.03
Street Fighter Alpha 3 MAX,PlayStation Portable,2006,Fighting,Capcom,0.27,0.01,0.02,0.03
MLB 09: The Show,PlayStation2,2009,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04
Cool Boarders 2001,PlayStation2,2001,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04
Hell's Kitchen: The Game,Nintendo Wii,2008,Simulation,Ubisoft,0.3,0.0,0.0,0.03
Classic NES Series: Castlevania,Game Boy Advance,2004,Platform,Nintendo,0.17,0.06,0.09,0.01
Scooby-Doo! First Frights,PlayStation2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0.0,0.16
Fight Night Round 3,Xbox,2006,Fighting,Electronic Arts,0.26,0.06,0.0,0.01
GT Advance Championship Racing,Game Boy Advance,2001,Racing,THQ,0.24,0.09,0.0,0.01
Way of the Samurai 2,PlayStation2,2003,Action,Capcom,0.05,0.04,0.23,0.01
Planet Puzzle League,Nintendo Dual Screen,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01
BattleTanx,Nintendo 64,1998,Action,3DO,0.26,0.06,0.0,0.0
Naruto: Rise of a Ninja,Xbox360,2007,Action,Ubisoft,0.29,0.01,0.0,0.03
Cabela's Dangerous Hunts 2011,PlayStation3,2010,Sports,Activision,0.26,0.04,0.0,0.03
Hatsune Miku: Project Diva Extend,PlayStation Portable,2011,Misc,Sega,0.0,0.0,0.33,0.0
Pitfall 3D: Beyond the Jungle,PlayStation,1998,Platform,Activision,0.18,0.12,0.0,0.02
Disgaea 2: Cursed Memories,PlayStation2,2006,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02
Clock Tower 3,PlayStation2,2002,Adventure,Capcom,0.1,0.08,0.12,0.03
Battle Dodge Ball,Super Nintendo Entertainment System,1991,Sports,Banpresto,0.0,0.0,0.33,0.0
Etrian Odyssey,Nintendo Dual Screen,2007,Role-Playing,Nintendo,0.19,0.02,0.09,0.02
Call Of Duty 2: Big Red One,Nintendo GameCube,2005,Shooter,Activision,0.25,0.07,0.0,0.01
Dragon Ball Z: Extreme Butoden,Nintendo 3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02
Night at the Museum: Battle of the Smithsonian,Nintendo Wii,2009,Action,Majesco Entertainment,0.17,0.13,0.0,0.03
Disgaea: Hour of Darkness,PlayStation2,2003,Role-Playing,Tecmo Koei,0.16,0.13,0.0,0.04
NeoGeo Battle Coliseum,PlayStation2,2005,Fighting,Ignition Entertainment,0.16,0.13,0.0,0.04
Resonance of Fate,Xbox360,2010,Role-Playing,Sega,0.12,0.13,0.06,0.03
Harry Potter and the Deathly Hallows - Part 2,Nintendo Wii,2011,Action,Electronic Arts,0.17,0.13,0.0,0.03
We Sing Deutsche Hits,Nintendo Wii,2011,Misc,Nordic Games,0.0,0.29,0.0,0.04
SpongeBob SquarePants: Creature from the Krusty Krab,Nintendo GameCube,2006,Platform,THQ,0.25,0.07,0.0,0.01
MLB 08: The Show,PlayStation Portable,2008,Sports,Sony Computer Entertainment,0.3,0.0,0.0,0.02
Parodius,PlayStation,1994,Shooter,Konami Digital Entertainment,0.0,0.0,0.31,0.02
The X-Factor,Nintendo Wii,2010,Misc,Deep Silver,0.0,0.28,0.0,0.04
Spy Kids 3-D: Game Over,Game Boy Advance,2003,Platform,Disney Interactive Studios,0.24,0.09,0.0,0.01
Sakura Wars 3: Paris wa Moeteiru ka,Sega Dreamcast,2001,Adventure,Sega,0.0,0.0,0.33,0.0
Capcom Classics Collection Reloaded,PlayStation Portable,2006,Misc,Capcom,0.26,0.0,0.03,0.03
NCAA GameBreaker 2001,PlayStation,2000,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02
Power Rangers: Ninja Storm,Game Boy Advance,2003,Misc,THQ,0.24,0.09,0.0,0.01
Naruto: Gekito Ninja Taisen! 4,Nintendo GameCube,2005,Fighting,Tomy Corporation,0.0,0.0,0.32,0.01
Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts,0.14,0.15,0.0,0.04
Kidou Senshi Gundam F91: Formula Senki 0122,Super Nintendo Entertainment System,1991,Strategy,Namco Bandai Games,0.0,0.0,0.33,0.0
MVP Baseball 2005,Nintendo GameCube,2005,Sports,Electronic Arts,0.25,0.07,0.0,0.01
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,Nintendo Dual Screen,2007,Misc,Rocket Company,0.0,0.0,0.33,0.0
SSX Blur,Nintendo Wii,2007,Sports,Electronic Arts,0.29,0.01,0.0,0.03
DX Game of Life 2,PlayStation,1997,Misc,Takara,0.0,0.0,0.31,0.02
Danganronpa: Trigger Happy Havoc,PlayStation Vita,2013,Misc,Nippon Ichi Software,0.09,0.05,0.15,0.04
NBA Live 96,PlayStation,1996,Sports,Electronic Arts,0.16,0.11,0.04,0.02
Harry Potter and the Half-Blood Prince,PlayStation3,2009,Action,Electronic Arts,0.15,0.12,0.0,0.05
Alien: Isolation,PlayStation3,2014,Shooter,Sega,0.12,0.16,0.0,0.05
Samurai Warriors 2: Xtreme Legends (JP sales),PlayStation2,2007,Action,Tecmo Koei,0.0,0.0,0.33,0.0
Teen Titans,Nintendo GameCube,2006,Action,THQ,0.25,0.07,0.0,0.01
Def Jam Rapstar,Nintendo Wii,2010,Misc,Konami Digital Entertainment,0.29,0.02,0.0,0.02
MX vs. ATV Untamed,Nintendo Wii,2008,Racing,THQ,0.28,0.02,0.0,0.02
Frogger II: Threeedeep!,Atari 2600,1983,Action,Parker Bros.,0.31,0.02,0.0,0.0
Binary Domain,PlayStation3,2012,Action,Sega,0.09,0.07,0.14,0.03
NBA Live 06,Nintendo GameCube,2005,Sports,Electronic Arts,0.25,0.07,0.0,0.01
Fireball,Atari 2600,1981,Action,Starpath Corp.,0.3,0.02,0.0,0.0
Dr. Mario / Puzzle League,Game Boy Advance,2005,Puzzle,Nintendo,0.12,0.04,0.16,0.01
Family Party: 90 Great Games Party Pack,Nintendo Wii,2010,Misc,D3Publisher,0.31,0.0,0.0,0.02
DECA Sports Freedom,Xbox360,2010,Sports,Hudson Soft,0.27,0.04,0.0,0.02
Shin Nippon Pro Wrestling: Toukon Retsuden,PlayStation,1995,Fighting,Tomy Corporation,0.0,0.0,0.3,0.02
NBA 2K10,PlayStation Portable,2009,Sports,Take-Two Interactive,0.3,0.0,0.0,0.03
Major League Baseball 2K6,Xbox,2006,Sports,Take-Two Interactive,0.24,0.07,0.0,0.01
Golden Axe: Beast Rider,Xbox360,2008,Action,Sega,0.19,0.11,0.0,0.03
Pinball Hall of Fame: The Gottlieb Collection,PlayStation2,2004,Misc,Play It,0.16,0.12,0.0,0.04
EA Playground,Nintendo Dual Screen,2007,Sports,Electronic Arts,0.29,0.01,0.0,0.03
Buzz! The Ultimate Music Quiz,PlayStation3,2010,Misc,Sony Computer Entertainment,0.0,0.25,0.0,0.08
Discovery Kids: Puppy Playtime,Nintendo Dual Screen,2009,Simulation,505 Games,0.3,0.0,0.0,0.02
The Witcher: Enhanced Edition,PC,2008,Role-Playing,Atari,0.32,0.01,0.0,0.0
Teenage Mutant Ninja Turtles 2: Battle Nexus,Game Boy Advance,2004,Action,Konami Digital Entertainment,0.23,0.09,0.0,0.01
Nicktoons: Movin',PlayStation2,2004,Action,THQ,0.16,0.12,0.0,0.04
Mystery Case Files: The Malgrave Incident,Nintendo Wii,2011,Adventure,Nintendo,0.17,0.13,0.0,0.03
Chicken Riot,Nintendo Wii,2010,Action,City Interactive,0.14,0.15,0.0,0.03
One Piece: Romance Dawn - Bouken no Yoake,PlayStation Portable,2012,Fighting,Namco Bandai Games,0.0,0.0,0.32,0.0
Might & Magic Heroes VI,PC,2011,Role-Playing,Ubisoft,0.13,0.14,0.0,0.05
Iron Man 2,Nintendo Wii,2010,Action,Sega,0.15,0.15,0.0,0.03
SWAT: Global Strike Team,PlayStation2,2003,Shooter,Vivendi Games,0.16,0.12,0.0,0.04
NCAA Basketball 10,Xbox360,2009,Sports,Electronic Arts,0.3,0.0,0.0,0.02
Championship Bass,PlayStation,1999,Sports,Electronic Arts,0.18,0.12,0.0,0.02
The Adventures of Tintin: The Game,Nintendo Wii,2011,Action,Ubisoft,0.12,0.16,0.0,0.04
Battlestations: Pacific,Xbox360,2009,Strategy,Eidos Interactive,0.17,0.11,0.01,0.03
Elebits,Nintendo Wii,2006,Action,Konami Digital Entertainment,0.22,0.01,0.08,0.02
Style Lab: Jewelry Design,Nintendo Dual Screen,2009,Simulation,Ubisoft,0.3,0.0,0.0,0.02
Def Jam Rapstar,PlayStation3,2010,Misc,Konami Digital Entertainment,0.25,0.04,0.0,0.03
Hatsune Miku: Project Mirai DX,Nintendo 3DS,2015,Misc,Sega,0.16,0.04,0.1,0.02
Just Dance 2016,Xbox One,2015,Misc,Ubisoft,0.25,0.04,0.0,0.03
Golden Axe: Beast Rider,PlayStation3,2008,Action,Sega,0.13,0.14,0.0,0.06
Dead Space 2,PC,2011,Shooter,Electronic Arts,0.13,0.15,0.0,0.04
NHL Breakaway 98,Nintendo 64,1998,Sports,Acclaim Entertainment,0.3,0.02,0.0,0.0
Momotarou Dentetsu 20-Shuunen,Nintendo Dual Screen,2008,Misc,Hudson Soft,0.0,0.0,0.32,0.0
Bratz: Girlz Really Rock,Nintendo Dual Screen,2008,Action,THQ,0.18,0.11,0.0,0.03
Minute to Win It,Xbox360,2011,Misc,Zoo Games,0.3,0.0,0.0,0.02
Kinetica,PlayStation2,2001,Racing,Sony Computer Entertainment,0.16,0.12,0.0,0.04
The Black Eyed Peas Experience,Xbox360,2011,Misc,Ubisoft,0.2,0.1,0.0,0.03
NBA Street V3,Xbox,2005,Sports,Electronic Arts,0.28,0.03,0.0,0.01
Bust-A-Move '99,PlayStation,1997,Puzzle,Acclaim Entertainment,0.18,0.12,0.0,0.02
Dragon Quest Monsters 1Â·2,PlayStation,2002,Role-Playing,Enix Corporation,0.0,0.0,0.3,0.02
Marvel: Ultimate Alliance 2,Nintendo Wii,2009,Role-Playing,Activision,0.25,0.05,0.0,0.03
Remember Me,PlayStation3,2013,Action,Capcom,0.1,0.17,0.0,0.06
Silent Hill: Downpour,Xbox360,2012,Action,Konami Digital Entertainment,0.22,0.08,0.0,0.02
OverBlood,PlayStation,1996,Action,Electronic Arts,0.05,0.04,0.21,0.02
Dead Rising 2: Off the Record,PlayStation3,2011,Action,Capcom,0.11,0.08,0.1,0.03
ESPN X-Games Pro Boarder,PlayStation,1997,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02
Dragon Ball: XenoVerse,Xbox One,2015,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03
Eternal Sonata,Xbox360,2007,Role-Playing,Atari,0.19,0.04,0.08,0.02
Harvest Moon: Back to Nature,PlayStation,1999,Simulation,Ubisoft,0.11,0.07,0.12,0.02
Dead or Alive 5,Xbox360,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.03
Naruto: Ultimate Ninja (JP sales),PlayStation2,2003,Fighting,Atari,0.0,0.0,0.32,0.0
Dragon Ball Heroes: Ultimate Mission 2 ,Nintendo 3DS,2014,Strategy,Namco Bandai Games,0.0,0.0,0.32,0.0
Overlord II,Xbox360,2009,Action,Codemasters,0.15,0.14,0.0,0.03
Madden NFL 09,Nintendo Dual Screen,2008,Sports,Electronic Arts,0.3,0.0,0.0,0.02
Dance Dance Revolution Universe,Xbox360,2007,Simulation,Konami Digital Entertainment,0.3,0.0,0.0,0.02
"Go, Diego, Go!: Great Dinosaur Rescue",PlayStation2,2008,Action,Take-Two Interactive,0.16,0.12,0.0,0.04
Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0.0,0.28,0.0,0.05
"Warhammer 40,000: Squad Command",PlayStation Portable,2007,Strategy,THQ,0.11,0.13,0.0,0.08
Darkwatch,PlayStation2,2005,Shooter,Ubisoft,0.16,0.12,0.0,0.04
Tony Hawk's American Wasteland,Xbox360,2005,Sports,Activision,0.28,0.01,0.0,0.03
Beautiful Katamari,Xbox360,2007,Puzzle,Namco Bandai Games,0.14,0.02,0.15,0.02
Ben 10 Ultimate Alien: Cosmic Destruction,Nintendo Dual Screen,2010,Platform,D3Publisher,0.22,0.08,0.0,0.03
Pony Friends 2,Nintendo Dual Screen,2009,Simulation,Eidos Interactive,0.21,0.09,0.0,0.03
My Baby: First Steps,Nintendo Dual Screen,2009,Simulation,SouthPeak Games,0.27,0.03,0.0,0.02
Prince of Persia: The Sands of Time,Nintendo GameCube,2003,Action,Ubisoft,0.25,0.06,0.0,0.01
Harry Potter and the Deathly Hallows - Part 2,PlayStation3,2011,Action,Electronic Arts,0.14,0.13,0.0,0.05
Sky Odyssey,PlayStation2,2000,Simulation,Sony Computer Entertainment,0.16,0.12,0.0,0.04
Nagano Winter Olympics 98,Nintendo 64,1997,Sports,Konami Digital Entertainment,0.15,0.04,0.13,0.0
Rayman 2: The Great Escape,PlayStation,2000,Platform,Ubisoft,0.18,0.12,0.0,0.02
Just Dance 2016,Xbox360,2015,Misc,Ubisoft,0.23,0.05,0.0,0.03
Kirby's Block Ball,Nintendo Game Boy,1995,Puzzle,Nintendo,0.0,0.0,0.32,0.0
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.13,0.16,0.0,0.03
Hatsune Miku: Project Diva F 2nd,PlayStation Vita,2014,Misc,Sega,0.08,0.05,0.16,0.04
Bleach: Shattered Blade,Nintendo Wii,2006,Fighting,Sega,0.21,0.01,0.08,0.02
FIFA Street 3,PlayStation3,2008,Sports,Electronic Arts,0.08,0.18,0.0,0.06
Fortress,Game Boy Advance,2001,Action,Majesco Entertainment,0.23,0.08,0.0,0.01
Disney Fairies: Tinker Bell and the Great Fairy Rescue,Nintendo Dual Screen,2010,Adventure,Disney Interactive Studios,0.17,0.12,0.0,0.03
FIFA 2001 Major League Soccer,PlayStation,2000,Sports,Electronic Arts,0.18,0.12,0.0,0.02
Operation Flashpoint: Red River,PlayStation3,2011,Shooter,Codemasters,0.06,0.14,0.07,0.05
Power Rangers Samurai,Nintendo Wii,2011,Action,Namco Bandai Games,0.27,0.02,0.0,0.02
Karaoke Revolution Presents American Idol Encore 2,Nintendo Wii,2008,Misc,Konami Digital Entertainment,0.3,0.0,0.0,0.02
DiRT 2,PlayStation Portable,2009,Racing,Sony Computer Entertainment,0.09,0.15,0.0,0.08
Rally Cross,PlayStation,1997,Racing,Sony Computer Entertainment,0.18,0.12,0.0,0.02
Frogger's Adventures: The Rescue,PlayStation2,2003,Platform,Konami Digital Entertainment,0.16,0.12,0.0,0.04
Silent Hill HD Collection,PlayStation3,2012,Action,Konami Digital Entertainment,0.15,0.1,0.03,0.04
Extreme Pinball,PlayStation,1995,Misc,Electronic Arts,0.18,0.12,0.0,0.02
Karaoke Revolution Volume 3,PlayStation2,2004,Misc,Konami Digital Entertainment,0.16,0.12,0.0,0.04
Vin Diesel: Wheelman,PlayStation3,2009,Racing,Ubisoft,0.12,0.14,0.0,0.05
Army of Two: The 40th Day,PlayStation Portable,2010,Shooter,Electronic Arts,0.12,0.13,0.0,0.08
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PlayStation2,2001,Simulation,ASCII Entertainment,0.0,0.0,0.32,0.0
Street Fighter Alpha 2,Sega Saturn,1995,Fighting,Virgin Interactive,0.0,0.0,0.32,0.0
Persona 4: Dancing All Night,PlayStation Vita,2015,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04
"Carnival Games: Monkey See, Monkey Do!",Xbox360,2011,Misc,Take-Two Interactive,0.14,0.15,0.0,0.03
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,PlayStation,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.3,0.02
Ultimate Fighting Championship: Throwdown,PlayStation2,2002,Fighting,Ubisoft,0.16,0.12,0.0,0.04
Wipeout 2,Nintendo Wii,2011,Misc,Activision,0.3,0.0,0.0,0.02
SpongeBob SquarePants: Double Pack,Game Boy Advance,2005,Platform,THQ,0.23,0.08,0.0,0.01
Tetris 2 + Bombliss,NES (Nintendo Entertainment System),1991,Puzzle,BPS,0.0,0.0,0.32,0.0
Disney's Extreme Skate Adventure,PlayStation2,2003,Sports,Activision,0.16,0.12,0.0,0.04
Rock Band Country Track Pack,PlayStation2,2009,Misc,MTV Games,0.16,0.12,0.0,0.04
Prey,Xbox360,2006,Shooter,Take-Two Interactive,0.27,0.03,0.0,0.03
"Ed, Edd n Eddy: Jawbreakers!",Game Boy Advance,2002,Adventure,BAM! Entertainment,0.23,0.08,0.0,0.01
Frankenstein's Monster,Atari 2600,1982,Action,Data Age,0.3,0.02,0.0,0.0
Shaun White Snowboarding,PlayStation Portable,2008,Sports,Ubisoft,0.26,0.03,0.0,0.03
Riven: The Sequel to Myst,PlayStation,1997,Adventure,Acclaim Entertainment,0.18,0.12,0.0,0.02
Folklore,PlayStation3,2007,Role-Playing,Sony Computer Entertainment,0.2,0.04,0.05,0.03
Derby Stallion DS,Nintendo Dual Screen,2008,Sports,Enterbrain,0.0,0.0,0.32,0.0
Murdered: Soul Suspect,PlayStation4,2014,Action,Square Enix,0.09,0.16,0.02,0.05
The Darkness II,PlayStation3,2012,Shooter,Take-Two Interactive,0.14,0.13,0.0,0.05
NBA 2K3,Xbox,2002,Sports,Sega,0.24,0.07,0.0,0.01
Dragon Quest Monsters: Battle Road Victory,Nintendo Wii,2010,Strategy,Square Enix,0.0,0.0,0.32,0.0
Shin Momotarou Densetsu,Super Nintendo Entertainment System,1993,Role-Playing,Hudson Soft,0.0,0.0,0.32,0.0
From TV Animation One Piece: Grand Battle! 3,PlayStation2,2003,Fighting,Namco Bandai Games,0.0,0.0,0.32,0.0
Sega Smash Pack,Game Boy Advance,2002,Misc,Atari,0.23,0.08,0.0,0.01
The Conveni: Ano Machi wo Dokusen Seyo,PlayStation,1997,Simulation,Human Entertainment,0.0,0.0,0.3,0.02
Shin Super Robot Taisen Special Disk,PlayStation,1997,Strategy,Banpresto,0.0,0.0,0.3,0.02
Live A Live,Super Nintendo Entertainment System,1994,Role-Playing,SquareSoft,0.0,0.0,0.32,0.0
NFL Fever 2004,Xbox,2003,Sports,Microsoft Game Studios,0.24,0.07,0.0,0.01
Madden NFL 2002,Game Boy Advance,2001,Sports,Electronic Arts,0.23,0.08,0.0,0.01
Bigfoot: Collision Course,Nintendo Wii,2008,Racing,Zoo Digital Publishing,0.3,0.0,0.0,0.02
FIFA Street 3,Xbox360,2008,Sports,Electronic Arts,0.14,0.14,0.0,0.03
Cabela's Dangerous Hunts 2011,Xbox360,2010,Sports,Activision,0.28,0.01,0.0,0.02
UEFA Euro 2008 Austria-Switzerland,PlayStation2,2008,Sports,Electronic Arts,0.03,0.0,0.0,0.28
Test Drive Unlimited,Xbox360,2006,Racing,Atari,0.23,0.04,0.02,0.02
Marvel Nemesis: Rise of the Imperfects,PlayStation Portable,2005,Fighting,Electronic Arts,0.29,0.0,0.0,0.02
The Biggest Loser,Nintendo Dual Screen,2009,Sports,THQ,0.18,0.11,0.0,0.03
Power Rangers Samurai,Nintendo Dual Screen,2011,Action,Namco Bandai Games,0.26,0.04,0.0,0.02
Kingdom Under Fire: The Crusaders,Xbox,2004,Strategy,Deep Silver,0.24,0.07,0.0,0.01
4x4 Evolution,PlayStation2,2001,Racing,Gathering of Developers,0.16,0.12,0.0,0.04
Clive Barker's Jericho,Xbox360,2007,Shooter,Codemasters,0.28,0.01,0.0,0.02
Rise of the Tomb Raider,Xbox360,2015,Adventure,Square Enix,0.18,0.11,0.0,0.03
Momotarou Dentetsu Happy,Super Nintendo Entertainment System,1996,Misc,Hudson Soft,0.0,0.0,0.32,0.0
Power Rangers: Time Force,PlayStation,2001,Action,THQ,0.18,0.12,0.0,0.02
Romance of the Three Kingdoms VII,PlayStation2,2000,Strategy,Tecmo Koei,0.08,0.06,0.16,0.02
Goosebumps HorrorLand,Nintendo Dual Screen,2008,Adventure,Scholastic Inc.,0.29,0.0,0.0,0.02
Fable III,PC,2011,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05
Littlest Pet Shop: City Friends,Nintendo Dual Screen,2009,Simulation,Electronic Arts,0.29,0.0,0.0,0.02
"Monsters, Inc.",PlayStation2,2002,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04
DJ Hero,PlayStation2,2009,Misc,Activision,0.1,0.02,0.0,0.2
Lord of Arcana,PlayStation Portable,2010,Role-Playing,Square Enix,0.07,0.04,0.17,0.03
Phineas and Ferb: Across the 2nd Dimension,PlayStation3,2011,Action,Disney Interactive Studios,0.15,0.11,0.0,0.05
Quiz Magic Academy DS,Nintendo Dual Screen,2008,Misc,Konami Digital Entertainment,0.0,0.0,0.32,0.0
Tekken 6,PlayStation Portable,2009,Fighting,Namco Bandai Games,0.15,0.03,0.1,0.03
Chicken Blaster,Nintendo Wii,2009,Shooter,Zushi Games,0.29,0.0,0.0,0.02
Dynasty Warriors 4 Empires,PlayStation2,2004,Action,Tecmo Koei,0.0,0.0,0.32,0.0
Shenmue II,Xbox,2002,Adventure,Microsoft Game Studios,0.22,0.08,0.0,0.01
Crash of the Titans,Xbox360,2007,Action,Vivendi Games,0.27,0.02,0.0,0.02
LEGO Marvel's Avengers,Xbox360,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0.0,0.03
Skylanders SWAP Force,Xbox One,2013,Platform,Activision,0.22,0.06,0.0,0.03
Heart of Darkness,PlayStation,1998,Platform,Ocean,0.18,0.12,0.0,0.02
Rugby World Cup 2011,PlayStation3,2011,Sports,505 Games,0.0,0.24,0.0,0.07
Virtua Striker 2,Sega Dreamcast,1999,Sports,Sega,0.0,0.0,0.32,0.0
F1 Race Stars,PlayStation3,2012,Racing,Codemasters,0.06,0.19,0.0,0.06
Overlord II,PlayStation3,2009,Action,Codemasters,0.11,0.15,0.0,0.06
WarCraft II: The Dark Saga,PlayStation,1997,Strategy,Electronic Arts,0.18,0.12,0.0,0.02
Shrek the Third,PlayStation Portable,2007,Action,Activision,0.08,0.15,0.0,0.09
MonHun Nikki: Poka Poka Ailu Mura G,PlayStation Portable,2011,Role-Playing,Capcom,0.0,0.0,0.31,0.0
BlazBlue: Continuum Shift,Xbox360,2010,Fighting,PQube,0.23,0.04,0.02,0.02
MLB 07: The Show,PlayStation3,2007,Sports,Sony Computer Entertainment,0.29,0.0,0.0,0.02
Crash Nitro Kart,Xbox,2003,Racing,Vivendi Games,0.24,0.07,0.0,0.01
Etrian Odyssey III: The Drowned City,Nintendo Dual Screen,2010,Role-Playing,Atlus,0.12,0.0,0.19,0.01
Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02
NBA ShootOut,PlayStation,1995,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02
Harry Potter and the Half-Blood Prince,Xbox360,2009,Action,Electronic Arts,0.17,0.11,0.0,0.03
Jikkyou Powerful Pro Yakyuu 14,PlayStation2,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0
Fishing Master,Nintendo Wii,2007,Misc,Konami Digital Entertainment,0.29,0.0,0.0,0.02
Madden NFL 2004,Game Boy Advance,2003,Sports,Electronic Arts,0.22,0.08,0.0,0.01
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,Super Nintendo Entertainment System,1995,Platform,Konami Digital Entertainment,0.0,0.0,0.31,0.0
Jikkyou Powerful Pro Yakyuu Portable 3,PlayStation Portable,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0
Mario Golf,Nintendo Game Boy,1999,Action,Nintendo,0.0,0.0,0.31,0.0
