Nombre,Plataforma,Año,Género,Compañía,USA,Europa,Japón,Otros
Super Mario 64,Nintendo Dual Screen,2004,Platform,Nintendo,5.01,3.07,1.25,0.97
Call of Duty: Ghosts,Xbox360,2013,Shooter,Activision,6.73,2.56,0.04,0.91
Just Dance 3,Nintendo Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06
New Super Mario Bros. 2,Nintendo 3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63
Mario Kart 64,Nintendo 64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15
Halo: Reach,Xbox360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79
Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96
Halo 4,Xbox360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74
Gran Turismo 2,PlayStation,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5
Just Dance 2,Nintendo Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78
Call of Duty: Ghosts,PlayStation3,2013,Shooter,Activision,4.1,3.63,0.38,1.25
Call of Duty 4: Modern Warfare,Xbox360,2007,Shooter,Activision,5.93,2.36,0.13,0.9
Donkey Kong Country,Super Nintendo Entertainment System,1994,Platform,Nintendo,4.36,1.71,3.0,0.23
Minecraft,Xbox360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81
Animal Crossing: New Leaf,Nintendo 3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39
Mario Party DS,Nintendo Dual Screen,2007,Misc,Nintendo,4.4,1.85,1.98,0.68
The Elder Scrolls V: Skyrim,Xbox360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85
Super Mario Kart,Super Nintendo Entertainment System,1992,Racing,Nintendo,3.54,1.24,3.81,0.18
FIFA 16,PlayStation4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28
Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08
Wii Party,Nintendo Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67
Mario Party 8,Nintendo Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7
FIFA Soccer 13,PlayStation3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97
GoldenEye 007,Nintendo 64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15
Pokemon Black 2/Pokemon White 2,Nintendo Dual Screen,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41
Final Fantasy X,PlayStation2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6
Mario & Sonic at the Olympic Games,Nintendo Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91
Star Wars Battlefront (2015),PlayStation4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28
Final Fantasy VIII,PlayStation,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23
Pac-Man,Atari 2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08
PokÃ©mon Platinum Version,Nintendo Dual Screen,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54
Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73
Call of Duty: Advanced Warfare,PlayStation4,2014,Shooter,Activision,2.81,3.48,0.14,1.23
The Legend of Zelda: Ocarina of Time,Nintendo 64,1998,Action,Nintendo,4.1,1.89,1.45,0.16
FIFA 17,PlayStation4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11
Crash Bandicoot 2: Cortex Strikes Back,PlayStation,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31
Super Smash Bros. for Wii U and 3DS,Nintendo 3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48
Super Mario Galaxy 2,Nintendo Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62
Super Mario Bros. 2,NES (Nintendo Entertainment System),1988,Platform,Nintendo,5.39,1.18,0.7,0.19
Call of Duty: Black Ops 3,Xbox One,2015,Shooter,Activision,4.59,2.11,0.01,0.68
Call of Duty: World at War,Xbox360,2008,Shooter,Activision,4.81,1.88,0.0,0.69
Battlefield 3,Xbox360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69
Need for Speed Underground,PlayStation2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02
Just Dance,Nintendo Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73
Battlefield 3,PlayStation3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08
Fallout 4,PlayStation4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13
Tekken 3,PlayStation,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29
The Legend of Zelda: Twilight Princess,Nintendo Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68
Pokemon Sun/Moon,Nintendo 3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45
Crash Bandicoot 3: Warped,PlayStation,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28
Mario Kart 8,Nintendo WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51
Super Smash Bros. Melee,Nintendo GameCube,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22
Mario Kart: Double Dash!!,Nintendo GameCube,2003,Racing,Nintendo,4.12,1.77,0.87,0.19
Need for Speed Underground 2,PlayStation2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09
Medal of Honor: Frontline,PlayStation2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99
Crash Bandicoot,PlayStation,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3
Just Dance 4,Nintendo Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55
Gears of War 2,Xbox360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64
Uncharted 3: Drake's Deception,PlayStation3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03
Zumba Fitness,Nintendo Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66
Call of Duty 4: Modern Warfare,PlayStation3,2007,Shooter,Activision,3.11,2.26,0.28,1.03
Uncharted 2: Among Thieves,PlayStation3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98
FIFA 12,PlayStation3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39
Big Brain Academy,Nintendo Dual Screen,2005,Misc,Nintendo,1.66,2.75,1.6,0.62
The Legend of Zelda,NES (Nintendo Entertainment System),1986,Action,Nintendo,3.74,0.93,1.69,0.14
Red Dead Redemption,PlayStation3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99
FIFA 14,PlayStation3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37
Assassin's Creed III,PlayStation3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12
Donkey Kong Country Returns,Nintendo Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46
Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07
The Elder Scrolls V: Skyrim,PlayStation3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0
PokÃ©mon Emerald Version,Game Boy Advance,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21
Kingdom Hearts,PlayStation2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07
PokÃ©mon Crystal Version,Nintendo Game Boy,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99
Halo 3: ODST,Xbox360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61
Red Dead Redemption,Xbox360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58
Super Mario Sunshine,Nintendo GameCube,2002,Platform,Nintendo,4.01,1.26,0.87,0.17
Street Fighter II: The World Warrior,Super Nintendo Entertainment System,1992,Fighting,Capcom,2.47,0.83,2.87,0.12
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0
Driver,PlayStation,1999,Action,GT Interactive,3.11,2.8,0.02,0.33
Gears of War 3,Xbox360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5
Kinect Sports,Xbox360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51
Gears of War,Xbox360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6
FIFA 15,PlayStation4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9
Metal Gear Solid 2: Sons of Liberty,PlayStation2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72
Sonic the Hedgehog 2,Sega Genesis,1992,Platform,Sega,4.47,1.2,0.16,0.19
Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24
Metal Gear Solid 4: Guns of the Patriots,PlayStation3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82
Final Fantasy XII,PlayStation2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74
The Last of Us,PlayStation3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99
LittleBigPlanet,PlayStation3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87
Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo Dual Screen,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15
Tekken 2,PlayStation,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23
Destiny,PlayStation4,2014,Shooter,Activision,2.49,2.07,0.16,0.92
LEGO Star Wars: The Complete Saga,Nintendo Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51
Cooking Mama,Nintendo Dual Screen,2006,Simulation,505 Games,3.07,1.91,0.07,0.57
Tetris,NES (Nintendo Entertainment System),1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11
Super Smash Bros.,Nintendo 64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04
Assassin's Creed II,PlayStation3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86
Assassin's Creed,Xbox360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56
Forza Motorsport 3,Xbox360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5
Super Mario Advance,Game Boy Advance,2001,Platform,Nintendo,3.14,1.24,0.91,0.2
Monster Hunter Freedom Unite,PlayStation Portable,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34
Batman: Arkham City,PlayStation3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81
